"","Date","Open","High","Low","Close","Volume","Company","volumeDiff","shifted"
"1",2021-03-15,516.320007,520.72998,508.029999,520.25,3484300,"Netflix",3.92999299999997,524.030029
"2",2021-03-16,524.469971,533.419983,523.210022,524.030029,3238900,"Netflix",-0.439941999999974,524.440002
"3",2021-03-17,522,528.369995,514.299988,524.440002,2817400,"Netflix",2.44000200000005,504.790009
"4",2021-03-18,516.400024,517.900024,503.850006,504.790009,4094500,"Netflix",-11.610015,512.179993
"5",2021-03-19,504.959991,513.190002,501.630005,512.179993,4386400,"Netflix",7.22000199999997,523.109985
"6",2021-03-22,509.130005,529.309998,509.130005,523.109985,3360600,"Netflix",13.9799800000001,535.090027
"7",2021-03-23,529.869995,543.119995,529.400024,535.090027,5583500,"Netflix",5.22003199999995,520.809998
"8",2021-03-24,533.780029,534.419983,520,520.809998,4102200,"Netflix",-12.9700310000001,502.859985
"9",2021-03-25,516.98999,518.530029,497,502.859985,4926800,"Netflix",-14.130005,508.049988
"10",2021-03-26,502.820007,508.720001,496.679993,508.049988,3467800,"Netflix",5.22998100000001,513.950012
"11",2021-03-29,505.660004,518,504.399994,513.950012,3330000,"Netflix",8.290008,513.390015
"12",2021-03-30,510.51001,514.409973,506.910004,513.390015,2418100,"Netflix",2.88000499999993,521.659973
"13",2021-03-31,515.669983,528.130005,515.440002,521.659973,3503100,"Netflix",5.98999000000003,539.419983
"14",2021-04-01,529.929993,540.5,527.030029,539.419983,3938600,"Netflix",9.48999000000003,540.669983
"15",2021-04-05,540.01001,542.849976,529.22998,540.669983,3355900,"Netflix",0.659973000000036,544.530029
"16",2021-04-06,544.809998,554.169983,543.299988,544.530029,3474200,"Netflix",-0.279968999999937,546.98999
"17",2021-04-07,543.5,549.640015,541.450012,546.98999,2151300,"Netflix",3.48999000000003,554.580017
"18",2021-04-08,551.130005,556.900024,547.570007,554.580017,4309800,"Netflix",3.45001200000002,555.309998
"19",2021-04-09,552.690002,556.900024,547.109985,555.309998,2894000,"Netflix",2.6199959999999,552.780029
"20",2021-04-12,551.049988,557.97998,549.580017,552.780029,2944100,"Netflix",1.73004100000003,553.72998
"21",2021-04-13,557,559.75,550.299988,553.72998,2720300,"Netflix",-3.27002000000005,540.02002
"22",2021-04-14,554.869995,554.869995,538.530029,540.02002,3740300,"Netflix",-14.849975,549.219971
"23",2021-04-15,544.169983,553.48999,542.659973,549.219971,3139100,"Netflix",5.04998799999998,546.539978
"24",2021-04-16,550.539978,551.97998,539.51001,546.539978,3209100,"Netflix",-4,554.440002
"25",2021-04-19,546.900024,556.440002,545.530029,554.440002,4288700,"Netflix",7.53997800000002,549.570007
"26",2021-04-20,554.419983,563.559998,546.299988,549.570007,11257600,"Netflix",-4.84997599999997,508.899994
"27",2021-04-21,508,515.460022,503.600006,508.899994,22897400,"Netflix",0.899993999999992,508.779999
"28",2021-04-22,513.820007,513.960022,500.549988,508.779999,9061100,"Netflix",-5.04000800000006,505.549988
"29",2021-04-23,509.01001,509.700012,500.700012,505.549988,7307700,"Netflix",-3.46002200000004,510.299988
"30",2021-04-26,506.76001,510.480011,503,510.299988,4388800,"Netflix",3.53997799999996,505.549988
"31",2021-04-27,512.619995,512.98999,504.579987,505.549988,3761300,"Netflix",-7.07000700000003,506.519989
"32",2021-04-28,505.200012,508.399994,503.339996,506.519989,3193000,"Netflix",1.31997699999999,509
"33",2021-04-29,507.600006,509.290009,499,509,5127800,"Netflix",1.39999399999999,513.469971
"34",2021-04-30,505,514.549988,505,513.469971,4413200,"Netflix",8.46997099999999,509.109985
"35",2021-05-03,512.650024,518.950012,505.200012,509.109985,4091900,"Netflix",-3.54003900000004,503.179993
"36",2021-05-04,510.779999,511.630005,496.790009,503.179993,4349500,"Netflix",-7.60000599999995,496.079987
"37",2021-05-05,504.98999,507.779999,494.630005,496.079987,3129400,"Netflix",-8.91000299999996,499.549988
"38",2021-05-06,495.98999,499.549988,491.369995,499.549988,3783700,"Netflix",3.55999800000001,503.839996
"39",2021-05-07,504.619995,508.549988,501.119995,503.839996,3132800,"Netflix",-0.779999000000032,486.690002
"40",2021-05-10,502,503.149994,486.109985,486.690002,5131600,"Netflix",-15.309998,495.079987
"41",2021-05-11,479.75,497.98999,478.630005,495.079987,4401000,"Netflix",15.329987,484.980011
"42",2021-05-12,486.829987,493.540009,482.700012,484.980011,4121500,"Netflix",-1.84997600000003,486.660004
"43",2021-05-13,489.130005,490.779999,482.709991,486.660004,2712500,"Netflix",-2.47000099999997,493.369995
"44",2021-05-14,487.859985,494.850006,486.589996,493.369995,2882500,"Netflix",5.51001000000002,488.940002
"45",2021-05-17,485.589996,492.709991,482.809998,488.940002,2705200,"Netflix",3.35000600000001,486.279999
"46",2021-05-18,488.399994,493.480011,486.190002,486.279999,2350500,"Netflix",-2.11999500000002,487.700012
